"YEAR","MONTH_NUM","RAIN_FLAG","INCIDENT_COUNT"
"2013","04","No rain","187"
"2013","04","Rain","10"
"2013","05","No rain","180"
"2013","05","Rain","10"
"2013","06","No rain","203"
"2013","06","Rain","2"
"2013","07","No rain","220"
"2013","07","Rain","4"
"2013","08","No rain","226"
"2013","08","Rain","9"
"2013","09","No rain","186"
"2013","09","Rain","8"
"2013","10","No rain","192"
"2013","10","Rain","23"
"2013","11","No rain","172"
"2013","11","Rain","18"
"2013","12","No rain","181"
"2013","12","Rain","25"
"2014","01","No rain","123"
"2014","01","Rain","21"
"2014","02","No rain","158"
"2014","02","Rain","25"
"2014","03","No rain","225"
"2014","03","Rain","15"
"2014","04","No rain","181"
"2014","04","Rain","9"
"2014","05","No rain","183"
"2014","05","Rain","24"
"2014","06","No rain","215"
"2014","06","Rain","12"
"2014","07","No rain","188"
"2014","07","Rain","8"
"2014","08","No rain","208"
"2014","08","Rain","26"
"2014","09","No rain","189"
"2014","09","Rain","16"
"2014","10","No rain","218"
"2014","10","Rain","31"
"2014","11","No rain","201"
"2014","11","Rain","32"
"2014","12","No rain","178"
"2014","12","Rain","45"
"2015","01","No rain","185"
"2015","01","Rain","17"
"2015","02","No rain","175"
"2015","02","Rain","10"
"2015","03","No rain","167"
"2015","03","Rain","24"
"2015","04","No rain","185"
"2015","04","Rain","6"
"2015","05","No rain","211"
"2015","05","Rain","13"
"2015","06","No rain","239"
"2015","06","Rain","7"
"2015","07","No rain","198"
"2015","07","Rain","12"
"2015","08","No rain","199"
"2015","08","Rain","36"
"2015","09","No rain","216"
"2015","09","Rain","11"
"2015","10","No rain","215"
"2015","10","Rain","36"
"2015","11","No rain","166"
"2015","11","Rain","97"
"2015","12","No rain","167"
"2015","12","Rain","54"
"2016","01","No rain","160"
"2016","01","Rain","52"
"2016","02","No rain","196"
"2016","02","Rain","23"
"2016","03","No rain","172"
"2016","03","Rain","15"
"2016","04","No rain","201"
"2016","04","Rain","18"
"2016","05","No rain","183"
"2016","05","Rain","12"
"2016","06","No rain","177"
"2016","06","Rain","19"
"2016","07","No rain","239"
"2016","07","Rain","3"
"2016","08","No rain","182"
"2016","08","Rain","16"
"2016","09","No rain","182"
"2016","09","Rain","21"
"2016","10","No rain","217"
"2016","10","Rain","22"
"2016","11","No rain","183"
"2016","11","Rain","36"
"2016","12","No rain","203"
"2016","12","Rain","13"
"2017","01","No rain","120"
"2017","01","Rain","10"
"2017","02","No rain","148"
"2017","02","Rain","10"
"2017","03","No rain","106"
"2017","03","Rain","28"
"2017","04","No rain","148"
"2017","05","No rain","130"
"2017","06","No rain","102"
"2017","06","Rain","18"
"2017","07","No rain","128"
"2017","07","Rain","4"
"2017","08","No rain","128"
"2017","08","Rain","20"
"2017","09","No rain","130"
"2017","09","Rain","12"
"2017","10","No rain","188"
"2017","10","Rain","10"
"2017","11","No rain","192"
"2017","11","Rain","8"
"2017","12","No rain","182"
"2017","12","Rain","12"
"2018","01","No rain","138"
"2018","01","Rain","30"
"2018","02","No rain","132"
"2018","02","Rain","14"
"2018","03","No rain","120"
"2018","03","Rain","8"
"2018","04","No rain","110"
"2018","04","Rain","14"
"2018","05","No rain","126"
"2018","05","Rain","2"
"2018","06","No rain","126"
"2018","07","No rain","134"
"2018","08","No rain","120"
"2018","08","Rain","2"
"2018","09","No rain","98"
"2018","09","Rain","8"
"2018","10","No rain","96"
"2018","10","Rain","2"
"2018","11","No rain","130"
"2018","11","Rain","12"
"2018","12","No rain","124"
"2018","12","Rain","42"
"2019","01","No rain","80"
"2019","01","Rain","2"
"2019","02","No rain","130"
"2019","02","Rain","14"
"2019","03","No rain","136"
"2019","03","Rain","32"
"2019","04","No rain","104"
"2019","05","No rain","82"
"2019","05","Rain","30"
"2019","06","No rain","72"
"2019","06","Rain","20"
"2019","07","No rain","142"
"2019","08","No rain","74"
"2019","08","Rain","6"
"2019","09","No rain","112"
"2019","09","Rain","2"
"2019","10","No rain","96"
"2019","10","Rain","42"
"2019","11","No rain","106"
"2019","11","Rain","58"
"2019","12","No rain","136"
"2019","12","Rain","16"
"2020","01","No rain","84"
"2020","01","Rain","4"
"2020","02","No rain","90"
"2020","02","Rain","24"
"2020","03","No rain","58"
"2020","03","Rain","8"
"2020","04","No rain","22"
"2020","05","No rain","28"
"2020","06","No rain","66"
"2020","06","Rain","18"
"2020","07","No rain","76"
"2020","07","Rain","16"
"2020","08","No rain","104"
"2020","09","No rain","90"
"2020","09","Rain","10"
"2020","10","No rain","78"
"2020","10","Rain","26"
"2020","11","No rain","96"
"2020","11","Rain","2"
"2020","12","No rain","52"
"2020","12","Rain","26"
"2021","01","No rain","44"
"2021","01","Rain","16"
"2021","02","No rain","48"
"2021","02","Rain","6"
"2021","03","No rain","64"
"2021","03","Rain","6"
"2021","04","No rain","64"
"2021","04","Rain","6"
"2021","05","No rain","92"
"2021","05","Rain","52"
"2021","06","No rain","140"
"2021","06","Rain","2"
"2021","07","No rain","92"
"2021","07","Rain","30"
"2021","08","No rain","110"
"2021","08","Rain","10"
"2021","09","No rain","130"
"2021","10","No rain","162"
"2021","10","Rain","26"
"2021","11","No rain","152"
"2021","11","Rain","36"
"2021","12","No rain","104"
"2021","12","Rain","78"
"2022","01","No rain","116"
"2022","01","Rain","12"
"2022","02","No rain","106"
"2022","02","Rain","22"
"2022","03","No rain","110"
"2022","03","Rain","24"
"2022","04","No rain","84"
"2022","04","Rain","18"
"2022","05","No rain","130"
"2022","05","Rain","4"
"2022","06","No rain","118"
"2022","06","Rain","10"
"2022","07","No rain","156"
"2022","07","Rain","10"
"2022","08","No rain","140"
"2022","08","Rain","2"
"2022","09","No rain","116"
"2022","09","Rain","4"
"2022","10","No rain","72"
"2022","10","Rain","16"
"2022","11","No rain","126"
"2022","11","Rain","8"
"2022","12","No rain","130"
"2022","12","Rain","6"
"2023","01","No rain","62"
"2023","01","Rain","34"
"2023","02","No rain","76"
"2023","02","Rain","4"
"2023","03","No rain","90"
"2023","03","Rain","14"
"2023","04","No rain","94"
"2023","04","Rain","4"
"2023","05","No rain","106"
"2023","05","Rain","14"
"2023","06","No rain","134"
"2023","07","No rain","114"
"2023","07","Rain","10"
"2023","08","No rain","70"
"2023","08","Rain","10"
"2023","09","No rain","104"
"2023","09","Rain","2"
"2023","10","No rain","124"
"2023","10","Rain","16"
"2023","11","No rain","108"
"2023","11","Rain","44"
"2023","12","No rain","96"
"2023","12","Rain","34"
"2024","01","No rain","49"
"2024","01","Rain","14"
"2024","02","No rain","112"
"2024","02","Rain","33"
"2024","03","No rain","96"
"2024","03","Rain","23"
"2024","04","No rain","92"
"2024","04","Rain","22"
"2024","05","No rain","112"
"2024","05","Rain","5"
"2024","06","No rain","122"
"2024","06","Rain","7"
"2024","07","No rain","114"
"2024","07","Rain","18"
"2024","08","No rain","111"
"2024","08","Rain","8"
"2024","09","No rain","121"
"2024","09","Rain","24"
"2024","10","No rain","131"
"2024","10","Rain","15"
"2024","11","No rain","111"
"2024","11","Rain","4"
"2024","12","No rain","109"
"2024","12","Rain","45"
